arm,lockin,coop,open_coop,proposal,proposal_frac,intention_only_frac,msg_len
L0_none,0.0,0.5909090909090909,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.275,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.4,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.3,0.8333333333333334,0,0.0,0.0,0.0
L0_none,0.0,0.3,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.42857142857142855,0.8333333333333334,0,0.0,0.0,0.0
L0_none,1.0,0.925,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.34615384615384615,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.25,0.25,0,0.0,0.0,0.0
L0_none,0.0,0.5208333333333334,0.9166666666666666,0,0.0,0.0,0.0
L0_none,0.0,0.36363636363636365,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.15,0.3333333333333333,0,0.0,0.0,0.0
L0_none,0.0,0.125,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.075,0.3333333333333333,0,0.0,0.0,0.0
L0_none,0.0,0.425,0.6666666666666666,0,0.0,0.0,0.0
L0_none,0.0,0.7142857142857143,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.05,0.16666666666666666,0,0.0,0.0,0.0
L0_none,0.0,0.16666666666666666,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.5,0.8333333333333334,0,0.0,0.0,0.0
L0_none,0.0,0.75,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.5454545454545454,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.125,0.3333333333333333,0,0.0,0.0,0.0
L0_none,0.0,0.125,0.5,0,0.0,0.0,0.0
L0_none,0.0,0.225,0.8333333333333334,0,0.0,0.0,0.0
L0_none,0.0,0.35,1.0,0,0.0,0.0,0.0
L0_none,0.0,0.14285714285714285,0.3333333333333333,0,0.0,0.0,0.0
L0_none,0.0,0.3,0.5,0,0.0,0.0,0.0
L1_signal,0.0,0.36538461538461536,0.6666666666666666,0,0.0,1.0,19.942307692307693
L1_signal,0.0,0.2222222222222222,0.5,0,0.0,1.0,20.125
L1_signal,0.0,0.3404255319148936,0.5833333333333334,0,0.0,1.0,19.375
L1_signal,0.0,0.045454545454545456,0.16666666666666666,0,0.0,1.0,20.227272727272727
L1_signal,0.0,0.05,0.16666666666666666,0,0.0,1.0,19.9
L1_signal,0.0,0.0,0.0,0,0.0,1.0,20.2
L1_signal,0.0,0.6,1.0,0,0.0,1.0,21.15
L1_signal,0.0,0.3333333333333333,1.0,0,0.0,1.0,21.1
L1_signal,0.0,0.38461538461538464,0.5,0,0.0,1.0,19.357142857142858
L1_signal,0.0,0.225,1.0,0,0.0,1.0,20.5
L1_signal,0.0,0.027777777777777776,0.16666666666666666,0,0.0,1.0,20.083333333333332
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.975
L1_signal,0.0,0.03125,0.16666666666666666,0,0.0,1.0,20.03125
L1_signal,1.0,0.8181818181818182,1.0,0,0.0,1.0,22.0
L1_signal,0.0,0.0,0.0,0,0.0,1.0,19.675
L1_signal,0.0,0.0,0.0,0,0.0,1.0,19.9
L1_signal,0.0,0.0,0.0,0,0.0,1.0,19.45
L1_signal,0.0,0.05,0.3333333333333333,0,0.0,1.0,19.975
L1_signal,0.0,0.07142857142857142,0.16666666666666666,0,0.0,1.0,20.071428571428573
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.6
L1_signal,0.0,0.075,0.5,0,0.0,1.0,19.975
L1_signal,1.0,1.0,1.0,0,0.0,1.0,22.0
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.9
L1_signal,1.0,1.0,1.0,0,0.0,1.0,22.0
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.825
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.9
L1_signal,0.0,0.1,0.3333333333333333,0,0.0,1.0,20.35
L1_signal,0.0,0.16666666666666666,0.16666666666666666,0,0.0,1.0,21.0
L1_signal,0.0,0.029411764705882353,0.16666666666666666,0,0.0,1.0,19.705882352941178
L1_signal,0.0,0.175,0.5,0,0.0,1.0,20.275
L1_signal,0.0,0.2222222222222222,1.0,0,0.0,1.0,20.416666666666668
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.825
L1_signal,0.0,0.0,0.0,0,0.0,1.0,20.59375
L1_signal,0.0,0.045454545454545456,0.16666666666666666,0,0.0,1.0,20.636363636363637
L1_signal,0.0,0.25,1.0,0,0.0,1.0,21.1
L1_signal,0.0,0.05,0.16666666666666666,0,0.0,1.0,20.275
L1_signal,0.0,0.075,0.16666666666666666,0,0.0,1.0,20.5
L1_signal,0.0,0.05,0.0,0,0.0,1.0,20.5
L1_signal,0.0,0.07142857142857142,0.16666666666666666,0,0.0,1.0,20.5
L1_signal,0.0,0.075,0.0,0,0.0,1.0,20.2
L1_signal,0.0,0.36538461538461536,0.75,0,0.0,1.0,20.96153846153846
L1_signal,0.0,0.25,0.5,0,0.0,1.0,20.928571428571427
L1_signal,0.0,0.3958333333333333,0.6666666666666666,0,0.0,1.0,21.1875
L1_signal,0.0,0.0,0.0,0,0.0,1.0,20.09090909090909
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.975
L1_signal,0.0,0.02564102564102564,0.16666666666666666,0,0.0,1.0,19.975
L1_signal,0.0,0.02631578947368421,0.16666666666666666,0,0.0,1.0,19.9
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,19.75
L1_signal,0.0,0.07142857142857142,0.16666666666666666,0,0.0,1.0,20.928571428571427
L1_signal,0.0,0.02631578947368421,0.16666666666666666,0,0.0,1.0,18.975
L1_signal,0.0,0.027777777777777776,0.16666666666666666,0,0.0,1.0,20.0
L1_signal,0.0,0.05,0.16666666666666666,0,0.0,1.0,20.575
L1_signal,0.0,0.03125,0.16666666666666666,0,0.0,1.0,19.9375
L1_signal,0.0,0.045454545454545456,0.16666666666666666,0,0.0,1.0,19.681818181818183
L1_signal,0.0,0.0,0.0,0,0.0,1.0,20.2
L1_signal,0.0,0.0,0.0,0,0.0,1.0,20.35
L1_signal,1.0,0.875,1.0,0,0.0,1.0,21.925
L1_signal,0.0,0.025,0.16666666666666666,0,0.0,1.0,20.425
L1_signal,0.0,0.07142857142857142,0.16666666666666666,0,0.0,1.0,18.928571428571427
L1_signal,0.0,0.05,0.3333333333333333,0,0.0,1.0,20.2
L2_observed,1.0,0.9411764705882353,1.0,1,0.9607843137254902,0.0,67.67307692307692
L2_observed,1.0,0.9090909090909091,0.9166666666666666,1,0.9454545454545454,0.0,78.16071428571429
L2_observed,1.0,0.8723404255319149,0.8333333333333334,1,0.9166666666666666,0.0,83.89583333333333
L2_observed,1.0,0.9545454545454546,1.0,1,1.0,0.0,112.77272727272727
L2_observed,1.0,0.95,1.0,1,0.8717948717948718,0.0,106.55
L2_observed,1.0,0.9,1.0,1,0.975,0.0,112.45
L2_observed,0.0,0.4864864864864865,0.75,1,0.725,0.0,115.5
L2_observed,1.0,1.0,1.0,1,1.0,0.0,86.625
L2_observed,1.0,1.0,1.0,1,1.0,0.0,92.07142857142857
L2_observed,0.0,0.717948717948718,1.0,1,0.8717948717948718,0.0,101.575
L2_observed,0.0,0.5277777777777778,1.0,1,0.8888888888888888,0.027777777777777776,189.02777777777777
L2_observed,0.0,0.15,0.3333333333333333,1,0.5641025641025641,0.07692307692307693,158.45
L2_observed,0.0,0.71875,1.0,1,0.9375,0.0,177.71875
L2_observed,0.0,0.18181818181818182,0.3333333333333333,1,0.5454545454545454,0.0,156.54545454545453
L2_observed,0.0,0.2,0.3333333333333333,1,0.375,0.05,175.95
L2_observed,0.0,0.225,0.5,1,0.775,0.1,174.75
L2_observed,0.0,0.125,0.3333333333333333,1,0.375,0.275,128.275
