cell_id,seed,expressiveness,throughput,observability,C,api_err,lockin
P3/intention/once/private/self_local_14,720,intention,once,private,0.7307692307692307,0.0,0.0
P3/intention/once/private/self_local_14,721,intention,once,private,1.0,0.0,1.0
P3/intention/once/private/self_local_14,722,intention,once,private,0.5555555555555556,0.0,0.0
P3/intention/once/private/self_local_14,723,intention,once,private,0.425,0.0,0.0
P3/proposal/every/observed/self_local_14,700,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,701,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,702,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,703,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,704,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,705,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,706,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,707,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,708,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,709,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,710,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,711,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,712,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,713,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,714,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,715,proposal,every,observed,0.09375,0.0,0.0
P3/proposal/every/observed/self_local_14,716,proposal,every,observed,0.95,0.0,1.0
P3/proposal/every/observed/self_local_14,717,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,718,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,719,proposal,every,observed,0.675,0.0,0.0
P3/proposal/every/observed/self_local_14,720,proposal,every,observed,0.7307692307692307,0.0,0.0
P3/proposal/every/observed/self_local_14,721,proposal,every,observed,0.5416666666666666,0.0,0.0
P3/proposal/every/observed/self_local_14,722,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/observed/self_local_14,723,proposal,every,observed,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,700,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,701,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,702,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,703,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,704,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,705,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,706,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,707,proposal,every,private,0.675,0.0,0.0
P3/proposal/every/private/self_local_14,708,proposal,every,private,0.45,0.0,0.0
P3/proposal/every/private/self_local_14,709,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,710,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,711,proposal,every,private,0.075,0.0,0.0
P3/proposal/every/private/self_local_14,712,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,713,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,714,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,715,proposal,every,private,0.59375,0.0,0.0
P3/proposal/every/private/self_local_14,716,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,717,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,718,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,719,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,720,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,721,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,722,proposal,every,private,1.0,0.0,1.0
P3/proposal/every/private/self_local_14,723,proposal,every,private,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,700,proposal,once,observed,0.425,0.0,0.0
P3/proposal/once/observed/self_local_14,701,proposal,once,observed,0.7857142857142857,0.0,0.0
P3/proposal/once/observed/self_local_14,702,proposal,once,observed,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,703,proposal,once,observed,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,704,proposal,once,observed,0.35,0.0,0.0
P3/proposal/once/observed/self_local_14,705,proposal,once,observed,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,706,proposal,once,observed,0.35,0.0,0.0
P3/proposal/once/observed/self_local_14,707,proposal,once,observed,0.65,0.0,0.0
P3/proposal/once/observed/self_local_14,708,proposal,once,observed,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,709,proposal,once,observed,0.75,0.0,0.0
P3/proposal/once/observed/self_local_14,710,proposal,once,observed,0.425,0.0,0.0
P3/proposal/once/observed/self_local_14,711,proposal,once,observed,0.825,0.0,1.0
P3/proposal/once/observed/self_local_14,712,proposal,once,observed,0.65,0.0,0.0
P3/proposal/once/observed/self_local_14,713,proposal,once,observed,0.8928571428571429,0.0,1.0
P3/proposal/once/observed/self_local_14,714,proposal,once,observed,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,715,proposal,once,observed,0.71875,0.0,0.0
P3/proposal/once/observed/self_local_14,716,proposal,once,observed,0.9,0.0,1.0
P3/proposal/once/observed/self_local_14,717,proposal,once,observed,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,718,proposal,once,observed,0.9,0.0,1.0
P3/proposal/once/observed/self_local_14,719,proposal,once,observed,0.5,0.0,0.0
P3/proposal/once/observed/self_local_14,720,proposal,once,observed,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,721,proposal,once,observed,1.0,0.0,1.0
P3/proposal/once/observed/self_local_14,722,proposal,once,observed,0.3888888888888889,0.0,0.0
P3/proposal/once/observed/self_local_14,723,proposal,once,observed,0.125,0.0,0.0
P3/proposal/once/private/self_local_14,700,proposal,once,private,0.9,0.0,1.0
P3/proposal/once/private/self_local_14,701,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,702,proposal,once,private,0.7692307692307693,0.0,0.0
P3/proposal/once/private/self_local_14,703,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,704,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,705,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,706,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,707,proposal,once,private,0.85,0.0,1.0
P3/proposal/once/private/self_local_14,708,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,709,proposal,once,private,0.9,0.0,1.0
P3/proposal/once/private/self_local_14,710,proposal,once,private,0.675,0.0,0.0
P3/proposal/once/private/self_local_14,711,proposal,once,private,0.85,0.0,1.0
P3/proposal/once/private/self_local_14,712,proposal,once,private,0.625,0.0,0.0
P3/proposal/once/private/self_local_14,713,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,714,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,715,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,716,proposal,once,private,0.8,0.0,0.0
P3/proposal/once/private/self_local_14,717,proposal,once,private,0.6875,0.0,0.0
P3/proposal/once/private/self_local_14,718,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,719,proposal,once,private,0.85,0.0,1.0
P3/proposal/once/private/self_local_14,720,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,721,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,722,proposal,once,private,1.0,0.0,1.0
P3/proposal/once/private/self_local_14,723,proposal,once,private,0.375,0.0,0.0
