experiment_id,cell_id,seed,game,channel,spec,pair,framing,n_rows,n_rounds,coop_mean,price_mean,price_last,refusal_rate,api_error_rate,msgs,rule_frac,full_rule_frac,trigger_frac,conseq_frac,target_frac,intention_frac,msg_len,any_rule,lockin,K,capacity,has_channel,free_text
A1,A1/L1_signal/canonical/same_origin_cn,100,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.0,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.225,0.225,19.675,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,101,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,24,12,0.041666666666666664,,,0.0,0.0,24,0.0,0.0,0.0,0.0,0.20833333333333334,0.20833333333333334,19.625,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,102,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.35,0.35,20.05,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,103,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,2,1,0.0,,,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,104,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.0,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.25,0.25,19.75,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,105,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.0,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.25,0.25,19.75,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,106,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,20,10,0.05,,,0.0,0.0,20,0.0,0.0,0.0,0.0,0.5,0.5,20.5,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,107,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,6,3,0.0,,,0.0,0.0,6,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,21.0,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,108,ipd,L1_signal,canonical,qwen-72b+deepseek-v3,neutral,34,17,0.029411764705882353,,,0.0,0.0,34,0.0,0.0,0.0,0.0,0.20588235294117646,0.20588235294117646,19.61764705882353,0,0.0,,intention,1,0
A1,A1/L1_signal/canonical/same_origin_cn,109,ipd,L1_signal,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.0,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.175,0.175,19.525,0,0.0,,intention,1,0
